Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"Ham, Cheese, Tomato Toastie",170,339.39,14.1,6.1,878,32.9,,3.5,16.8
Hamburger,108,274.86,10.9,4.2,475,30.2,,4.6,14
Hash Brown (1 Piece),58,163.48,11,1.2,243,15.1,,0.3,1.4
Hot Chocolate (Large),398,430.21,13,8.3,236,62.5,,60,30.2
Hot Chocolate (Medium),343,391.97,11,7,209,59.7,,57.2,28.3
Hot Chocolate (Small),232,246.18,7.6,4.9,138,35,,33.7,16.5
Iced Chocolate (Large),612,401.53,16.6,10.7,469,49.7,,48.5,12.3
Iced Chocolate (Medium),492,344.17,13.4,8.6,425,45.4,,44.2,9.3
Iced Chocolate (Small),375,230.4,11,7.1,245,26,,25.4,6.4
Iced Coffee (Large),606,235.18,15.3,9.9,155,14.5,,14.4,10.1
Iced Coffee (Medium),486,180.93,12.3,8,115,10.5,,10.4,7.3
Iced Coffee (Small),370,137.67,9.9,6.4,82,7.3,,7.2,5
Iced Mocha (Large),612,370.46,14.8,9.6,458,47.5,,46.2,10.8
Iced Mocha (Medium),492,317.88,11.9,7.7,417,43.5,,42.2,8
Iced Mocha (Small),375,209.13,9.7,6.3,241,24.5,,23.8,5.4
Jack's Brekky Roll,240,619.02,39.5,21.6,1300,30.2,,7.4,34.1
Jack's Cafe Iced Coffee Brown Sugar Pops (Large),656,248.57,15.4,10.2,172,27,,24.9,10.2
Jack's Cafe Iced Coffee Brown Sugar Pops (Medium),536,194.31,12.4,8.3,131,23,,20.9,7.3
Jack's Cafe Iced Coffee Brown Sugar Pops (Small),421,151.29,10,6.8,99,19.8,,17.7,5.1
Jack's Fried Chicken 3 Piece Pack,172,482.79,34.7,3,1690,14.6,,0.8,28.5
Jack's Fried Chicken 5 Piece Pack,272,707.46,47.3,4.1,2720,23.8,,0.9,47.3
Jack's Fried Chicken Boneless Pieces 3 Pack,172,482.79,34.7,3,1690,14.6,,0.8,28.5
Jack's Fried Chicken Boneless Pieces 5 Pack,272,707.46,47.3,4.1,2720,23.8,,0.9,47.3
Jack's Fried Chicken Carolina,310,901.05,59.4,18.3,1460,58.5,,11.9,32.3
Jack's Fried Chicken Cheesy Bacon,295,841.3,55.5,16.5,1330,52.4,,9.7,31.7
Jack's Fried Chicken Classic,264,771.99,50.7,13.8,913,51.8,,9.1,26.3
Jack's Fried Chicken Hunger Tamers,1076,2108.03,122,26.2,3220,195,,60.9,55.9
Jack's Fried Chicken Spicy Cheesy Bacon,297,793.5,47.4,16.4,1640,56.5,,6.5,33.9
Jack's Fried Chicken Spicy,264,714.63,44,12.2,1000,52.5,,9.9,26.4
Jelly Belly Bursties Blueberry,50,9.56,0,0,12.5,9.5,,8,0
Jelly Belly Bursties Grape,50,9.56,0,0,15,9,,8,0
Jelly Belly Bursties Watermelon,50,9.56,0,0,15,9,,7.5,0
Kerri Apple Juice 350ml,300,167.3,0.4,0,18,39.2,,37.1,1.1
Ketchup Sachet,12,14.58,0,0,98,3.3,,3,0.1
Latte (Large),436,229.45,12.7,8.1,186,17.4,,17.3,12.2
Latte (Medium),330,170.89,9.4,6,141,12.7,,12.6,9
Latte (Small),234,131.69,6.3,4,112,8.7,,8.5,6.3
Frozen Fanta Mango Lge,355,169.46,0,0,14,40.8,,40.8,0
Long Black,210,3.35,0.1,0.1,27,0.4,,0.2,0.4
Macchiato,38,3.35,0.1,0,15,0.3,,0.2,0.3
Milk Full Cream,90,117.35,6.5,4.1,88,8.6,,8.6,6.1
Miniccino Caramel,215,165.63,6.5,4.2,89,20.1,,20,6.2
Miniccino Hazelnut,215,166.11,6.5,4.2,89,20.4,,20.1,6.2
Miniccino Vanilla,215,168.02,6.5,4.2,89,20.7,,20.6,6.2
Mocha (Large),411,396.75,11.2,7.1,223,60.2,,57.6,28.6
Mocha (Medium),357,368.07,9.6,6.1,200,58,,55.5,27.1
Mocha (Small),245,222.75,6.7,4.3,131,32.4,,31.1,15.5
Mount Franklin Water (600ml),600,0,0,0,30,0,,0,0
Onion Rings (Large),115,282.03,22.8,3.3,374,16.8,,5,2.4
Onion Rings (Medium),77,189.29,15.2,2.2,250,11.2,,3.4,1.6
Orange Juice (Large),623,265.3,0,0,137,156,,125,5
Orange Juice (Medium),434,184.75,0,0,96,109,,86.8,3.5
Orange Juice (Small),340,144.6,0,0,75,85,,68,2.7
Pancakes (Maple Flavoured Syrup & Butter),159,406.31,14.2,4.6,403,61.6,,22.5,6.3
Party Cake,49,89.63,3.2,2.1,34,13.7,,11,1
Piccolo,106,53.3,2.9,1.9,46,4,,3.9,2.8
Pop'n Chick'n Carry Cup,188,499.52,24.1,3.5,1060,56.4,,2.9,14
Pop'n Chick'n,150,372.85,19.7,3.2,854,28,,2.8,20.5
Rebel Whopper Cheese,313,745.7,42.1,15.3,1460,58.7,,9.3,32.8
Rebel Whopper,291,674,36.3,11.5,1150,58,,8.4,28.3
Sausage & Egg on Turkish Roll,200,485.18,26.5,11.9,801,36.3,,5.5,24.5
Short Black,30,3.35,0.1,0.1,27,0.4,,0.2,0.4
Soft Serve Cone,117,205.54,7.7,5.1,133,27.9,,24.7,5.9
Soy Milk,90,75.29,3.2,0.5,126,5.6,,3.8,5.4
Spicy Dipping Tub,25,124.28,13.2,1.1,258,1.4,,0.8,0.4
Sprite (Large),623,253.35,0,0,87,62.3,,62.3,0
