Name,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Iced Caramel Latte Regular,,485,165,3.7,2.2,24,0.0,23,8.4
Iced Latte Regular,,461,115,3.7,2.3,13,0.0,11,8.4
Iced Vanilla Latte Regular,,485,165,3.7,2.2,24,0.0,23,8.4
Jam Doughnuts,76,,265,11,4.9,39,1.7,15,4.2
Jammy Heart Biscuit,59,,273,13,7.9,36,1.1,13,3.1
Large Cinnamon Latte,,402,181,3.9,2.4,26,0.0,23,10
Large Cinnamon Swirl Latte,,415,224,8.0,5.3,27,0.0,24,10
Large White Bloomer,50,,127,0.7,0.1,26,1.2,2.5,5.1
Latte Large,,380,133,3.9,2.4,14,0.0,11,10
Latte Large Decaf,,380,133,3.9,2.4,14,0.0,11,10
Latte made with soya alternative to milk - Large,,287,106,4.4,0.7,9.3,1.3,5.9,8.3
Latte made with soya alternative to milk - Large Decaf,,287,106,4.4,0.7,9.3,1.3,5.9,8.3
Latte made with soya alternative to milk - Regular,,230,83,3.4,0.5,7.5,1.0,4.5,6.4
Latte made with soya alternative to milk - Regular Decaf,,230,83,3.4,0.5,7.5,1.0,4.5,6.4
Latte Regular,,326,111,3.2,2.0,13,0.0,11,7.8
Latte Regular Decaf,,326,111,3.2,2.0,13,0.0,11,7.8
Lemon Muffin,110,,309,7.9,1.4,55,2.2,22,5.5
Lorne & Omelette Breakfast Baguette,261,,651,23,8.5,80,3.4,4.9,33
Lorne & Omelette Breakfast Roll,191,,456,19,6.5,49,2.1,6.6,23
Lorne Breakfast Baguette,243,,661,22,8.5,86,3.5,4.2,32
Lorne Breakfast Roll,141,,375,13,4.5,48,2.1,5.8,17
Malted Brown Loaf,42,,110,1.1,0.1,22,1.8,2.5,4.0
Margherita Pizza,160,,552,27,9.1,60,2.4,5.4,19
Mature Cheddar Cheese Ploughman's Oval Bite,229,,463,18,7.9,60,5.9,13,19
Mature Cheddar Cheese Salad Baguette,213,,449,15,7.7,61,3.4,4.6,19
Mayo Crispy Chicken Ciabatta Roll,257,,665,25,8.2,76,3.4,5.7,36
Mexican Chicken (HS),171,,347,9.0,1.0,48,4.4,6.4,20
Mexican Chicken Baguette,231,,493,9.7,4.0,77,4.1,17,26
Mexican Chicken Oval Bite,212,,452,11,1.4,68,5.9,21,24
Mexican Chicken Wrap,229,,469,15,4.1,64,3.3,18,20
Milk Chocolate Caramel Shortbread Offcuts,265,,1251,63,33,155,3.0,113,16
Milk Chocolate Caramel Shortbreads,62,,293,15,7.7,37,0.7,26,3.7
Milk Chocolate Cookies,73,,356,19,7.8,44,5.6,20,5.4
Mocha Large,,390,300,7.1,5.6,49,0.0,34,9.8
Mocha Large Decaf,,390,300,7.1,5.6,49,0.0,34,9.8
Mocha Regular,,353,233,5.2,4.1,40,0.0,30,7.2
Mocha Regular Decaf,,353,233,5.2,4.1,40,0.0,30,7.2
Novelty Bun,50,,199,9.1,2.1,28,2.0,19,1.6
Omelette Breakfast Baguette,213,,462,14,4.8,62,2.9,5.0,23
Omelette Breakfast Roll,176,,357,15,4.6,37,1.8,7.0,19
Oval Bites,105,,275,3.9,0.6,52,4.8,7.2,11
Pain au Chocolat,79,,308,16,9.8,36,2.2,8.5,6.6
Peach Melba,99,,371,21,11,44,0.9,26,2.6
Peppermint Tea Regular,,330,0,0.0,0.0,0.0,0.0,0.0,0.0
Pepperoni Hot Shot Pizza,191,,626,33,12,62,2.7,6.4,22
Pepperoni Pizza,172,,617,33,12,60,2.4,5.5,22
Pink Jammie,90,,332,14,7.2,48,1.7,23,4.4
Raspberry Muffin,110,,320,7.3,1.2,60,2.8,25,5.6
Regular Cinnamon Latte,,348,160,3.2,1.9,25,0.0,23,7.8
Regular Cinnamon Swirl Latte,,361,202,7.3,4.8,26,0.0,24,8.1
Roast Chicken & Bacon,184,,468,19,3.9,50,3.8,7.3,27
Roast Chicken & Bacon Club Baguette,239,,466,12,2.6,66,3.6,6.0,26
Roast Chicken & Stuffing Baguette,200,,499,12,1.8,72,3.6,5.1,28
Roast Chicken Mayonnaise Baguette,222,,469,12,1.5,65,3.2,4.9,26
Roast Chicken Salad,199,,348,9.6,1.0,49,4.1,6.9,19
Roast Chicken Salad Roll,200,,346,10,1.1,47,4.9,7.6,20
Sausage & Omelette Breakfast Baguette,241,,574,22,7.8,70,6.5,4.7,27
Sausage & Omelette Breakfast Roll,178,,404,18,6.0,42,4.2,6.5,20
Sausage Bean & Cheese Melt,149,,454,28,15,41,4.0,3.0,11
Sausage Breakfast Baguette,217,,558,21,7.5,72,7.6,4.1,24
Sausage Breakfast Roll,154,,388,17,5.6,44,5.3,5.9,17
Sausage Rolls,103,,329,22,12,26,1.5,0.0,9.4
Savoury Mince Pie,253,,853,55,23,63,3.0,1.3,27
Scotch Pie,139,,382,21,9.7,37,2.0,1.8,12
Sharing BBQ Bites,224,,625,30,3.1,45,2.1,3.6,44
Sharing Chicken Goujons,320,,787,34,14,68,4.3,0.8,53
Sharing Wedges,300,,555,19,1.9,91,8.1,3.5,8.1
Side Salad,99,,15,0.0,0.0,2.8,1.1,1.6,1.1
Simply Creamy Porridge,228,,210,4.4,1.5,37,4.1,6.7,8.0
Smoky Cajun Rice with BBQ Chicken & Sweetcorn Fritters,230,,253,6.1,0.8,43,7.5,1.7,11
Southern Fried Chicken Baguette,224,,570,14,6.7,88,4.2,16,26
Southern Fried Chicken Goujons,160,,394,17,7.0,34,2.1,0.0,27
Southern Fried Potato Wedges,150,,278,9.6,1.0,46,4.0,1.7,4.0
Sparkling Cherryade,,500,20,0.0,0.0,2.4,0.0,2.3,0.0
Sparkling Cloudy Lemonade,,500,15,0.0,0.0,0.7,0.0,0.6,0.0
Sparkling Mango & Pineapple,,500,15,0.0,0.0,2.1,0.0,1.9,0.0
Sparkling Raspberry Lemonade,,500,10,0.0,0.0,0.6,0.0,0.6,0.0
Spicy BBQ Chicken Bites,112,,312,15,1.6,22,1.0,1.8,22
Spicy Mexican Chicken Pizza,201,,603,28,9.4,63,3.1,6.5,27
Star Biscuit,38,,194,9.3,5.8,26,3.4,10,2.5
Steak Bake,136,,409,26,13,32,1.5,0.0,14
Sticky Toffee Muffin,109,,320,9.1,2.2,55,2.1,21,5.6
Stotties,70,,172,1.2,0.2,35,2.2,4.0,6.1
Sugar Strand Doughnut,59,,209,8.2,4.0,31,1.0,13,3.4
Sweet Chilli Chicken Wrap,238,,552,19,7.0,74,3.1,13,21
Sweet Potato Bhaji & Rice,230,,244,5.1,0.5,45,8.2,7.0,8.2
Tandoori Chicken,168,,348,8.8,0.9,51,4.1,8.1,19
