Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
"#5 The Super Sub (Giant, White Bread)",1530,83.39,20.15,1.21,113.77,3684.46,125.37,7.8,16.61,71.37
"#5 The Super Sub (Giant, Rosemary Parmesan Bread)",1590,87.71,22.81,1.21,126.43,3827.11,127.01,8.55,16.64,75.51
"#5 The Super Sub (Giant, Wheat Bread)",1550,84.23,19.37,1.21,113.77,3610.21,127.22,12.15,18.76,73.11
"#5 The Super Sub (Giant, Seeded Italian Bread)",1620,87.21,20.78,1.2,113.77,3742.79,142.7,12.79,20.37,71.87
"#5 The Super Sub (Giant, Gluten Free Bread)",1440,92.21,20.28,1.2,113.77,3302.79,98.7,7.79,20.37,62.87
"#5 The Super Sub (Wrap, White Wrap)",840,48.31,13.75,0.66,67.96,2167.4,63.7,4.25,7.96,38.31
"#5 The Super Sub (Wrap, Tomato Basil Wrap)",840,48.31,13.75,0.66,67.96,2147.4,63.7,4.25,7.96,38.31
"#5 The Super Sub (Wrap, Wheat Wrap)",820,48.31,13.75,0.66,67.96,2177.4,61.7,8.25,7.96,39.31
"#5 The Super Sub (Wrap, Garlic Herb Wrap)",840,48.31,13.75,0.66,67.96,2377.4,63.7,4.25,7.96,38.31
"#5 The Super Sub (Wrap, Spinach Herb Wrap)",840,48.31,13.75,0.66,67.96,2167.4,62.7,4.25,7.96,39.31
#5 The Super Sub (Bowl),530,41.31,10.75,0.66,67.96,1427.4,11.7,2.25,7.96,30.31
"#7 Turkey and Provolone (Mini, White Bread)",460,22.52,6,0.39,40.95,1115.03,40.19,2.82,4.21,25.44
"#7 Turkey and Provolone (Mini, Rosemary Parmesan Bread)",480,23.94,6.87,0.39,45.13,1162.11,40.73,3.07,4.22,26.81
"#7 Turkey and Provolone (Mini, Wheat Bread)",470,22.79,5.74,0.39,40.95,1090.53,40.8,4.26,4.92,26.01
"#7 Turkey and Provolone (Mini, Seeded Italian Bread)",500,23.78,6.2,0.39,40.95,1134.28,45.91,4.47,5.45,25.6
"#7 Turkey and Provolone (Regular, White Bread)",790,41.11,10.05,0.66,73.51,1918.8,60.97,4.26,6.49,44.22
"#7 Turkey and Provolone (Regular, Rosemary Parmesan Bread)",820,43.27,11.38,0.66,79.84,1990.13,61.79,4.63,6.5,46.29
"#7 Turkey and Provolone (Regular, Wheat Bread)",800,41.53,9.66,0.66,73.51,1881.68,61.9,6.43,7.56,45.09
"#7 Turkey and Provolone (Regular, Seeded Italian Bread)",840,43.02,10.36,0.66,73.51,1947.97,69.64,6.75,8.37,44.47
"#7 Turkey and Provolone (Regular, Gluten Free Bread)",750,45.52,10.11,0.66,73.51,1727.97,47.64,4.25,8.37,39.97
"#7 Turkey and Provolone (Giant, White Bread)",1490,78.73,18.27,1.21,122.89,3433.69,119.31,7.8,11.36,77.3
"#7 Turkey and Provolone (Giant, Rosemary Parmesan Bread)",1560,83.05,20.93,1.21,135.55,3576.34,120.95,8.55,11.39,81.44
"#7 Turkey and Provolone (Giant, Wheat Bread)",1520,79.57,17.49,1.21,122.89,3359.44,121.16,12.15,13.51,79.04
"#7 Turkey and Provolone (Giant, Seeded Italian Bread)",1590,82.55,18.9,1.2,122.89,3492.02,136.64,12.79,15.12,77.8
