Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Green Tea Latte (Venti, Soy)",591,280,7,1,0,0,170,38,3,32,14,110
"Green Tea Latte (Venti, Coconut)",591,250,10,9,0,0,180,38,2,36,2,110
"Iced Green Tea Latte (Tall, Nonfat)",354,120,0.3,0.1,0,5,95,22,1,21,8,55
"Iced Green Tea Latte (Tall, 2%)",354,160,4.5,2.5,0.2,15,105,22,1,21,8,55
"Iced Green Tea Latte (Tall, Whole)",354,180,7,4,0.2,20,95,22,1,21,7,55
"Iced Green Tea Latte (Tall, Soy)",354,140,3.5,0.5,0,0,85,18,2,16,7,55
"Iced Green Tea Latte (Tall, Coconut)",354,120,4.5,4.5,0,0,90,19,1,18,1,55
"Iced Green Tea Latte (Grande, Nonfat)",473,170,0.4,0.2,0,5,130,32,1,31,11,80
"Iced Green Tea Latte (Grande, 2%)",473,220,6,3.5,0.2,25,140,31,1,30,11,80
"Iced Green Tea Latte (Grande, Whole)",473,250,10,5,0.3,30,130,31,1,30,10,80
"Iced Green Tea Latte (Grande, Soy)",473,190,5,0.5,0,0,115,27,2,23,9,80
"Iced Green Tea Latte (Grande, Coconut)",473,170,7,6,0,0,120,27,1,25,2,80
"Iced Green Tea Latte (Venti, Nonfat)",709,240,0.5,0.3,0,10,180,44,2,42,15,110
"Iced Green Tea Latte (Venti, 2%)",709,310,8,5,0.4,35,200,43,2,41,15,110
"Iced Green Tea Latte (Venti, Whole)",709,350,14,8,0.4,40,190,43,2,41,14,110
"Iced Green Tea Latte (Venti, Soy)",709,270,7,1,0,0,170,37,3,32,13,110
"Iced Green Tea Latte (Venti, Coconut)",709,240,9,9,0,0,170,37,2,35,2,110
"Iced Green Tea (Tall)",354,60,0,0,0,0,5,15,0,15,0,20-25
"Iced Green Tea (Grande)",473,80,0,0,0,0,10,20,0,20,0,25-30
"Iced Green Tea (Venti)",709,120,0,0,0,0,15,30,0,30,0,40-45
"Iced Green Tea (Trenta)",887,140,0,0,0,0,20,35,0,34,0,50-55
"Iced Green Tea Lemonade (Tall)",354,90,0,0,0,0,5,24,0,24,0.1,20-25
"Iced Green Tea Lemonade (Grande)",473,120,0,0,0,0,5,32,0,32,0.1,25-30
"Iced Green Tea Lemonade (Venti)",709,190,0,0,0,0,10,48,0,47,0.1,40-45
"Iced Green Tea Lemonade (Trenta)",887,220,0,0,0,0,10,58,0,57,0.1,50-55
"Jade Citrus Mint Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,16-25
"Jade Citrus Mint Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,16-25
"Jade Citrus Mint Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,40+
"Jade Citrus Mint Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,40+
"London Fog Tea Latte (Short, Nonfat)",236,80,0.1,0.1,0,0,50,15,0,15,4,40+
"London Fog Tea Latte (Short, 2%)",236,100,2,1.5,0.1,10,55,15,0,15,4,40+
"London Fog Tea Latte (Short, Whole)",236,110,3.5,2,0.1,10,50,15,0,15,4,40+
"London Fog Tea Latte (Short, Soy)",236,80,1.5,0.2,0,0,40,13,0,12,3,40+
"London Fog Tea Latte (Short, Coconut)",236,80,2.5,2.5,0,0,45,14,0,13,0.2,40+
"London Fog Tea Latte (Tall, Nonfat)",354,110,0.1,0.1,0,5,70,23,0,23,5,40+
"London Fog Tea Latte (Tall, 2%)",354,140,3,2,0.1,15,80,23,0,23,5,40+
"London Fog Tea Latte (Tall, Whole)",354,160,5,3,0.2,15,75,23,0,23,5,40+
"London Fog Tea Latte (Tall, Soy)",354,120,2.5,0.3,0,0,60,20,1,18,4,40+
"London Fog Tea Latte (Tall, Coconut)",354,120,3.5,3.5,0,0,70,20,0,20,0.4,40+
"London Fog Tea Latte (Grande, Nonfat)",473,150,0.2,0.1,0,5,95,30,0,30,7,40+
"London Fog Tea Latte (Grande, 2%)",473,180,4,2.5,0.2,15,105,30,0,30,7,40+
"London Fog Tea Latte (Grande, Whole)",473,210,7,4,0.2,20,95,30,0,30,7,40+
"London Fog Tea Latte (Grande, Soy)",473,160,3,0.4,0,0,80,26,1,24,6,40+
"London Fog Tea Latte (Grande, Coconut)",473,150,4.5,4.5,0,0,90,27,0,26,0.5,40+
"London Fog Tea Latte (Venti, Nonfat)",591,190,0.2,0.1,0,5,120,38,0,38,9,40+
"London Fog Tea Latte (Venti, 2%)",591,230,5,3.5,0.2,20,135,38,0,38,9,40+
"London Fog Tea Latte (Venti, Whole)",591,260,9,5,0.3,25,125,38,0,38,8,40+
"London Fog Tea Latte (Venti, Soy)",591,200,4,0.5,0,0,105,33,1,31,7,40+
"London Fog Tea Latte (Venti, Coconut)",591,190,6,6,0,0,115,34,0,33,1,40+
"Iced Mango Black Tea (Tall)",354,60,0.1,0,0,0,10,14,0,14,0,20-25
"Iced Mango Black Tea (Grande)",473,80,0.2,0,0,0,10,19,0,19,0,25-30
"Iced Mango Black Tea (Venti)",709,120,0.3,0,0,0,15,29,0,28,0,40-45
"Iced Mango Black Tea (Trenta)",887,140,0.3,0,0,0,20,34,0,33,0,50-55
"Iced Mango Black Tea Lemonade (Tall)",354,90,0.1,0,0,0,5,24,0,23,0.1,20-25
"Iced Mango Black Tea Lemonade (Grande)",473,120,0.2,0,0,0,10,31,0,31,0.1,25-30
"Iced Mango Black Tea Lemonade (Venti)",709,190,0.3,0,0,0,10,47,0,46,0.1,40-45
"Iced Mango Black Tea Lemonade (Trenta)",887,230,0.3,0,0,0,15,58,0,57,0.1,50-55
"Mint Majesty Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,0
"Mint Majesty Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,0
"Mint Majesty Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,0
"Mint Majesty Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,0
"Oprah Chai Herbal Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,0
"Oprah Chai Herbal Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,0
"Oprah Chai Herbal Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,0
"Oprah Chai Herbal Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,0
"Oprah Cinnamon Chai Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,1--15
"Oprah Cinnamon Chai Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,1--15
"Oprah Cinnamon Chai Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,16-25
"Oprah Cinnamon Chai Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,16-25
"Oprah Cinnamon Chai Latte (Short, Nonfat)",236,80,0.1,0.1,0,0,45,17,0,16,4,25
"Oprah Cinnamon Chai Latte (Short, 2%)",236,100,2,1.5,0.1,10,50,16,0,15,3,25
"Oprah Cinnamon Chai Latte (Short, Whole)",236,110,3.5,2,0.1,10,50,16,0,15,3,25
"Oprah Cinnamon Chai Latte (Short, Soy)",236,90,1.5,0.2,0,0,40,15,0,13,3,25
"Oprah Cinnamon Chai Latte (Short, Coconut)",236,80,2.5,2.5,0,0,45,15,0,14,0.2,25
"Oprah Cinnamon Chai Latte (Tall, Nonfat)",354,130,0.1,0.1,0,5,70,25,0,23,5,40
"Oprah Cinnamon Chai Latte (Tall, 2%)",354,150,3,2,0.1,15,80,25,0,23,5,40
"Oprah Cinnamon Chai Latte (Tall, Whole)",354,170,5,3,0.2,15,70,25,0,23,5,40
"Oprah Cinnamon Chai Latte (Tall, Soy)",354,130,2.5,0.3,0,0,60,22,1,19,4,40
"Oprah Cinnamon Chai Latte (Tall, Coconut)",354,130,3.5,3.5,0,0,70,22,0,21,0.4,40
"Oprah Cinnamon Chai Latte (Grande, Nonfat)",473,170,0.2,0.1,0,5,90,33,0,31,7,50
"Oprah Cinnamon Chai Latte (Grande, 2%)",473,200,4,2.5,0.2,15,100,33,0,31,7,50
"Oprah Cinnamon Chai Latte (Grande, Whole)",473,220,7,4,0.2,20,95,33,0,31,7,50
"Oprah Cinnamon Chai Latte (Grande, Soy)",473,170,3,0.4,0,0,80,29,1,25,6,50
"Oprah Cinnamon Chai Latte (Grande, Coconut)",473,170,4.5,4.5,0,0,90,30,0,28,0.5,50
"Oprah Cinnamon Chai Latte (Venti, Nonfat)",591,210,0.2,0.1,0,5,115,41,0,39,9,65
"Oprah Cinnamon Chai Latte (Venti, 2%)",591,250,5,3.5,0.2,20,130,41,0,38,9,65
"Oprah Cinnamon Chai Latte (Venti, Whole)",591,280,9,5,0.3,25,120,41,0,38,8,65
"Oprah Cinnamon Chai Latte (Venti, Soy)",591,220,4,0.5,0,0,100,36,1,32,7,65
"Oprah Cinnamon Chai Latte (Venti, Coconut)",591,210,6,6,0,0,115,37,0,34,1,65
"Iced Oprah Cinnamon Chai Latte (Tall, Nonfat)",354,120,0.1,0.1,0,5,70,24,0,23,5,40
"Iced Oprah Cinnamon Chai Latte (Tall, 2%)",354,150,3,2,0.1,10,75,24,0,23,5,40
"Iced Oprah Cinnamon Chai Latte (Tall, Whole)",354,160,5,3,0.1,15,70,24,0,23,5,40
"Iced Oprah Cinnamon Chai Latte (Tall, Soy)",354,130,2.5,0.3,0,0,65,22,1,19,4,40
"Iced Oprah Cinnamon Chai Latte (Tall, Coconut)",354,120,3.5,3,0,0,65,22,0,20,0.3,40
"Iced Oprah Cinnamon Chai Latte (Grande, Nonfat)",473,170,0.2,0.1,0,5,95,33,0,31,7,50
"Iced Oprah Cinnamon Chai Latte (Grande, 2%)",473,200,4,2.5,0.2,15,105,33,0,31,7,50
"Iced Oprah Cinnamon Chai Latte (Grande, Whole)",473,220,7,4,0.2,20,95,33,0,31,7,50
"Iced Oprah Cinnamon Chai Latte (Grande, Soy)",473,180,3.5,0.4,0,0,85,29,1,26,6,50
"Iced Oprah Cinnamon Chai Latte (Grande, Coconut)",473,170,4.5,4.5,0,0,90,30,0,27,0.5,50
"Iced Oprah Cinnamon Chai Latte (Venti, Nonfat)",709,240,0.2,0.2,0,5,130,48,0,45,10,75
"Iced Oprah Cinnamon Chai Latte (Venti, 2%)",709,290,6,3.5,0.2,25,150,48,0,45,10,75
"Iced Oprah Cinnamon Chai Latte (Venti, Whole)",709,320,9,5,0.3,30,135,48,0,45,9,75
"Iced Oprah Cinnamon Chai Latte (Venti, Soy)",709,260,4.5,0.5,0,0,120,43,1,38,8,75
"Iced Oprah Cinnamon Chai Latte (Venti, Coconut)",709,240,6,6,0,0,125,44,0,40,1,75
"Passion Tango Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,0
"Passion Tango Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,0
"Passion Tango Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,0
"Passion Tango Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,0
"Iced Passion Tango tea (Tall)",354,60,0,0,0,0,5,15,0,15,0,0
"Iced Passion Tango tea (Grande)",473,80,0,0,0,0,10,20,0,20,0,0
"Iced Passion Tango tea (Venti)",709,120,0,0,0,0,15,30,0,30,0,0
"Iced Passion Tango tea (Trenta)",887,140,0,0,0,0,20,35,0,34,0,0
"Iced Passion Tango Tea Lemonade (Tall)",354,90,0,0,0,0,5,24,0,24,0.1,0
"Iced Passion Tango Tea Lemonade (Grande)",473,120,0,0,0,0,5,32,0,32,0.1,0
"Iced Passion Tango Tea Lemonade (Venti)",709,190,0,0,0,0,10,48,0,47,0.1,0
"Iced Passion Tango Tea Lemonade (Trenta)",887,220,0,0,0,0,10,58,0,57,0.1,0
"Peach Iced Green Tea (Tall)",354,60,0.1,0,0,0,0,15,0,15,0,20-25
"Peach Iced Green Tea (Grande)",473,80,0.2,0,0,0,0,20,0,20,0,25-30
"Peach Iced Green Tea (Venti)",709,130,0.3,0,0,0,2,31,0,30,0,40-45
"Peach Iced Green Tea (Trenta)",887,150,0.3,0,0,0,2,36,0,35,0,50-55
"Peach Iced Green Tea Lemonade (Tall)",354,100,0.1,0,0,0,0,25,0,24,0.1,20-25
"Peach Iced Green Tea Lemonade (Grande)",473,130,0.2,0,0,0,1,33,0,32,0.1,25-30
"Peach Iced Green Tea Lemonade (Venti)",709,190,0.3,0,0,0,2,49,0,48,0.1,40-45
"Peach Iced Green Tea Lemonade (Trenta)",887,240,0.3,0,0,0,2,60,0,59,0.1,50-55
"Peach Tranquility Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,0
"Peach Tranquility Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,0
"Peach Tranquility Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,0
"Peach Tranquility Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,0
"Youthberry Brewed Tea (Short)",236,0,0,0,0,0,0,0,0,0,0,1--15
"Youthberry Brewed Tea (Tall)",354,0,0,0,0,0,0,0,0,0,0,1--15
"Youthberry Brewed Tea (Grande)",473,0,0,0,0,0,0,0,0,0,0,16-25
"Youthberry Brewed Tea (Venti)",591,0,0,0,0,0,0,0,0,0,0,16-25
"Cool Lime Starbucks Refreshers™ Beverage (Tall)",354,60,0,0,0,0,2,14,0,14,0.1,35-45
"Cool Lime Starbucks Refreshers™ Beverage (Grande)",473,70,0,0,0,0,2,19,0,18,0.1,45-55
"Cool Lime Starbucks Refreshers™ Beverage (Venti)",709,110,0,0,0,0,3,28,0,27,0.2,70-85
"Cool Lime Starbucks Refreshers™ Beverage (Trenta)",887,150,0,0,0,0,4,37,0,36,0.3,90-110
"Very Berry Hibiscus Starbucks Refreshers™ Beverage (Tall)",354,70,0.1,0,0,0,2,18,1,15,0.1,35-45
"Very Berry Hibiscus Starbucks Refreshers™ Beverage (Grande)",473,90,0.1,0,0,0,3,22,1,20,0.1,45-55
"Very Berry Hibiscus Starbucks Refreshers™ Beverage (Venti)",709,130,0.1,0,0,0,4,32,1,29,0.2,70-85
"Very Berry Hibiscus Starbucks Refreshers™ Beverage (Trenta)",887,180,0.2,0,0,0,5,44,3,40,0.3,90-110
"Chocolate Smoothie (Grande, Nonfat)",473,300,2.5,1.5,0,5,160,53,8,34,20,20
"Chocolate Smoothie (Grande, 2%)",473,320,5,3,0.1,15,170,53,8,34,20,20
"Chocolate Smoothie (Grande, Whole)",473,340,7,4,0.1,15,160,53,8,34,20,20
"Chocolate Smoothie (Grande, Soy)",473,310,4.5,1.5,0,5,150,51,9,31,19,20
"Chocolate Smoothie (Grande, Coconut)",473,290,5,4,0,5,150,51,8,32,15,20
"Orange Mango Smoothie (Grande, Nonfat)",473,260,1,0.3,0,5,120,54,6,37,16,0
"Orange Mango Smoothie (Grande, 2%)",473,270,1.5,0.5,0,5,125,53,6,37,16,0
"Orange Mango Smoothie (Grande, Whole)",473,280,2.5,1,0,5,120,53,6,37,16,0
"Orange Mango Smoothie (Grande, Soy)",473,270,1.5,0.4,0,5,120,53,6,36,15,0
"Orange Mango Smoothie (Grande, Coconut)",473,260,1.5,1,0,5,120,53,6,36,14,0
"Strawberry Smoothie (Grande, Nonfat)",473,290,1,0.3,0,5,125,60,7,41,16,0
"Strawberry Smoothie (Grande, 2%)",473,300,2,1,0,5,130,60,7,41,16,0
"Strawberry Smoothie (Grande, Whole)",473,300,2.5,1,0,10,125,60,7,41,15,0
"Strawberry Smoothie (Grande, Soy)",473,290,1.5,0.4,0,5,125,59,7,40,15,0
"Strawberry Smoothie (Grande, Coconut)",473,290,2,1,0,5,125,59,7,41,14,0
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Nonfat, No Whip)",354,200,0.1,0.1,0,0,150,47,0,46,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Nonfat, Whip)",354,280,8,5,0.2,30,160,50,0,48,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, 2%, No Whip)",354,210,1.5,1,0,5,160,47,0,46,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, 2%, Whip)",354,290,10,6,0.3,35,170,50,0,48,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Whole, No Whip)",354,220,2.5,1.5,0.1,10,150,47,0,46,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Whole, Whip)",354,300,11,6,0.3,35,160,50,0,48,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Soy, No Whip)",354,200,1.5,0.2,0,0,150,46,0,44,2,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Soy, Whip)",354,290,9,5,0.2,30,160,48,0,46,3,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Coconut, No Whip)",354,200,1.5,1.5,0,0,150,47,0,45,0.4,65
"Caffè Vanilla Frappuccino Blended Beverage (Tall, Coconut, Whip)",354,280,10,7,0.2,30,160,49,0,47,1,65
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Nonfat, No Whip)",473,290,0.1,0.1,0,0,220,69,0,67,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Nonfat, Whip)",473,400,11,7,0.3,45,230,72,0,69,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, 2%, No Whip)",473,300,2,1,0.1,10,220,68,0,67,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, 2%, Whip)",473,420,13,8,0.4,50,230,72,0,69,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Whole, No Whip)",473,310,3,2,0.1,10,220,68,0,67,3,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Whole, Whip)",473,430,14,9,0.4,50,230,72,0,69,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Soy, No Whip)",473,290,1.5,0.2,0,0,210,67,1,64,3,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Soy, Whip)",473,410,13,7,0.3,40,220,70,1,67,4,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Coconut, No Whip)",473,290,2,2,0,0,210,68,0,66,0.5,95
"Caffè Vanilla Frappuccino Blended Beverage (Grande, Coconut, Whip)",473,400,13,9,0.3,40,220,71,0,69,1,95
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Nonfat, No Whip)",709,370,0.2,0.1,0,5,290,88,0,86,5,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Nonfat, Whip)",709,490,11,7,0.3,45,300,92,0,88,6,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, 2%, No Whip)",709,400,3,1.5,0.1,10,290,88,0,86,5,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, 2%, Whip)",709,510,14,8,0.4,55,300,91,0,88,6,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Whole, No Whip)",709,410,5,2.5,0.1,15,290,88,0,86,5,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Whole, Whip)",709,530,16,10,0.5,55,300,91,0,88,6,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Soy, No Whip)",709,380,2.5,0.3,0,0,280,86,1,82,4,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Soy, Whip)",709,500,14,7,0.3,40,290,89,1,85,5,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Coconut, No Whip)",709,380,3,3,0,0,280,87,0,84,1,125
"Caffè Vanilla Frappuccino Blended Beverage (Venti, Coconut, Whip)",709,490,14,10,0.3,40,290,90,0,87,1,125
"Caramel Frappuccino Blended Beverage (Tall, Nonfat, No Whip)",354,180,0.1,0,0,0,160,42,0,42,3,70
"Caramel Frappuccino Blended Beverage (Tall, Nonfat, Whip)",354,280,9,5,0.2,35,180,47,0,47,3,70
"Caramel Frappuccino Blended Beverage (Tall, 2%, No Whip)",354,190,1.5,1,0.1,5,170,42,0,42,3,70
"Caramel Frappuccino Blended Beverage (Tall, 2%, Whip)",354,290,10,6,0.3,40,180,47,0,46,3,70
"Caramel Frappuccino Blended Beverage (Tall, Whole, No Whip)",354,200,2.5,1.5,0.1,10,160,42,0,42,3,70
"Caramel Frappuccino Blended Beverage (Tall, Whole, Whip)",354,300,11,7,0.3,40,180,47,0,46,3,70
"Caramel Frappuccino Blended Beverage (Tall, Soy, No Whip)",354,190,1.5,0.2,0,0,160,41,0,40,2,70
"Caramel Frappuccino Blended Beverage (Tall, Soy, Whip)",354,280,10,6,0.2,30,170,46,0,45,3,70
"Caramel Frappuccino Blended Beverage (Tall, Coconut, No Whip)",354,180,2,1.5,0,0,160,41,0,40,0.4,70
"Caramel Frappuccino Blended Beverage (Tall, Coconut, Whip)",354,280,10,7,0.2,30,170,46,0,45,1,70
"Caramel Frappuccino Blended Beverage (Grande, Nonfat, No Whip)",473,260,0.1,0.1,0,0,230,60,0,60,4,100
"Caramel Frappuccino Blended Beverage (Grande, Nonfat, Whip)",473,390,12,8,0.3,45,240,67,0,66,4,100
"Caramel Frappuccino Blended Beverage (Grande, 2%, No Whip)",473,270,2,1.5,0.1,10,230,60,0,60,4,100
"Caramel Frappuccino Blended Beverage (Grande, 2%, Whip)",473,410,14,9,0.4,50,250,67,0,66,4,100
"Caramel Frappuccino Blended Beverage (Grande, Whole, No Whip)",473,280,3.5,2,0.1,10,230,60,0,60,3,100
"Caramel Frappuccino Blended Beverage (Grande, Whole, Whip)",473,420,15,9,0.4,55,250,67,0,66,4,100
"Caramel Frappuccino Blended Beverage (Grande, Soy, No Whip)",473,260,1.5,0.2,0,0,220,59,0,57,3,100
"Caramel Frappuccino Blended Beverage (Grande, Soy, Whip)",473,400,14,8,0.3,45,240,65,0,63,4,100
"Caramel Frappuccino Blended Beverage (Grande, Coconut, No Whip)",473,260,2,2,0,0,220,59,0,58,0.5,100
"Caramel Frappuccino Blended Beverage (Grande, Coconut, Whip)",473,390,14,10,0.3,45,240,65,0,64,1,100
"Caramel Frappuccino Blended Beverage (Venti, Nonfat, No Whip)",709,340,0.1,0.1,0,5,300,79,0,78,5,130
"Caramel Frappuccino Blended Beverage (Venti, Nonfat, Whip)",709,470,12,8,0.3,45,320,85,0,84,6,130
"Caramel Frappuccino Blended Beverage (Venti, 2%, No Whip)",709,360,3,2,0.1,10,310,78,0,78,5,130
"Caramel Frappuccino Blended Beverage (Venti, 2%, Whip)",709,500,15,9,0.5,55,330,85,0,84,6,130
"Caramel Frappuccino Blended Beverage (Venti, Whole, No Whip)",709,380,5,3,0.1,15,300,78,0,78,5,130
"Caramel Frappuccino Blended Beverage (Venti, Whole, Whip)",709,510,17,10,0.5,60,320,85,0,84,6,130
"Caramel Frappuccino Blended Beverage (Venti, Soy, No Whip)",709,350,2.5,0.3,0,0,290,76,1,74,5,130
"Caramel Frappuccino Blended Beverage (Venti, Soy, Whip)",709,480,14,8,0.3,45,310,83,1,80,5,130
"Caramel Frappuccino Blended Beverage (Venti, Coconut, No Whip)",709,340,3.5,3,0,0,300,76,0,75,1,130
"Caramel Frappuccino Blended Beverage (Venti, Coconut, Whip)",709,470,15,11,0.3,45,320,83,0,81,1,130
"Coffee Frappuccino Blended Beverage (Tall, Nonfat)",354,160,0.1,0,0,0,160,36,0,36,3,70
"Coffee Frappuccino Blended Beverage (Tall, 2%)",354,170,1.5,1,0,5,160,36,0,36,3,70
"Coffee Frappuccino Blended Beverage (Tall, Whole)",354,180,2.5,1.5,0.1,10,160,36,0,36,3,70
"Coffee Frappuccino Blended Beverage (Tall, Soy)",354,160,1.5,0.2,0,0,150,35,0,34,2,70
"Coffee Frappuccino Blended Beverage (Tall, Coconut)",354,160,2,1.5,0,0,150,36,0,35,0.4,70
"Coffee Frappuccino Blended Beverage (Grande, Nonfat)",473,220,0.1,0.1,0,0,210,51,0,50,4,95
"Coffee Frappuccino Blended Beverage (Grande, 2%)",473,230,2,1,0.1,10,220,50,0,50,3,95
"Coffee Frappuccino Blended Beverage (Grande, Whole)",473,240,3,2,0.1,10,220,50,0,50,3,95
"Coffee Frappuccino Blended Beverage (Grande, Soy)",473,220,1.5,0.2,0,0,210,49,0,47,3,95
"Coffee Frappuccino Blended Beverage (Grande, Coconut)",473,220,2,2,0,0,210,50,0,49,0.5,95
"Coffee Frappuccino Blended Beverage (Venti, Nonfat)",709,310,0.1,0.1,0,5,300,70,0,69,6,130
"Coffee Frappuccino Blended Beverage (Venti, 2%)",709,330,3,1.5,0.1,10,310,70,0,69,5,130
"Coffee Frappuccino Blended Beverage (Venti, Whole)",709,350,5,3,0.2,15,300,70,0,69,5,130
"Coffee Frappuccino Blended Beverage (Venti, Soy)",709,310,2.5,0.3,0,0,300,68,1,66,5,130
"Coffee Frappuccino Blended Beverage (Venti, Coconut)",709,310,3.5,3,0,0,300,69,0,68,1,135
"Espresso Frappuccino Blended Beverage (Tall, Nonfat)",354,150,0,0,0,0,135,34,0,33,2,130
"Espresso Frappuccino Blended Beverage (Tall, 2%)",354,150,1,0.5,0,5,140,34,0,33,2,130
"Espresso Frappuccino Blended Beverage (Tall, Whole)",354,160,1.5,1,0,5,140,34,0,33,2,130
"Espresso Frappuccino Blended Beverage (Tall, Soy)",354,150,1,0.1,0,0,135,33,0,31,2,130
"Espresso Frappuccino Blended Beverage (Tall, Coconut)",354,150,1,1,0,0,135,34,0,32,1,130
"Espresso Frappuccino Blended Beverage (Grande, Nonfat)",473,210,0.1,0,0,0,200,50,0,49,3,165
"Espresso Frappuccino Blended Beverage (Grande, 2%)",473,220,1.5,0.5,0,5,210,50,0,48,3,165
"Espresso Frappuccino Blended Beverage (Grande, Whole)",473,230,2.5,1.5,0.1,5,200,50,0,48,3,165
"Espresso Frappuccino Blended Beverage (Grande, Soy)",473,220,1,0.1,0,0,200,49,0,47,3,165
"Espresso Frappuccino Blended Beverage (Grande, Coconut)",473,220,1.5,1.5,0,0,200,50,0,48,1,165
"Espresso Frappuccino Blended Beverage (Venti, Nonfat)",709,280,0.1,0.1,0,0,270,65,0,63,5,185
"Espresso Frappuccino Blended Beverage (Venti, 2%)",709,300,2.5,1,0.1,10,280,65,0,63,5,185
"Espresso Frappuccino Blended Beverage (Venti, Whole)",709,310,4,2,0.1,10,270,65,0,63,4,185
"Espresso Frappuccino Blended Beverage (Venti, Soy)",709,290,2,0.3,0,0,270,63,1,60,4,185
"Espresso Frappuccino Blended Beverage (Venti, Coconut)",709,280,2.5,2.5,0,0,270,64,0,62,1,185
"Java Chip Frappuccino Blended Beverage (Tall, Nonfat, No Whip)",354,230,3,2,0,0,180,47,2,44,4,75
"Java Chip Frappuccino Blended Beverage (Tall, Nonfat, Whip)",354,320,11,7,0.3,30,190,51,2,47,4,75
"Java Chip Frappuccino Blended Beverage (Tall, 2%, No Whip)",354,240,4.5,3,0.1,5,180,47,2,44,4,75
"Java Chip Frappuccino Blended Beverage (Tall, 2%, Whip)",354,330,12,8,0.3,35,190,51,2,47,4,75
"Java Chip Frappuccino Blended Beverage (Tall, Whole, No Whip)",354,250,5,3.5,0.1,10,180,47,2,44,4,75
"Java Chip Frappuccino Blended Beverage (Tall, Whole, Whip)",354,340,13,9,0.3,35,190,51,2,47,4,75
"Java Chip Frappuccino Blended Beverage (Tall, Soy, No Whip)",354,230,4,2.5,0,0,180,46,2,42,3,75
"Java Chip Frappuccino Blended Beverage (Tall, Soy, Whip)",354,320,12,7,0.3,30,180,50,2,45,4,75
"Java Chip Frappuccino Blended Beverage (Tall, Coconut, No Whip)",354,230,4.5,3.5,0,0,180,46,2,43,1,75
"Java Chip Frappuccino Blended Beverage (Tall, Coconut, Whip)",354,320,13,9,0.3,30,180,50,2,46,2,75
