Name,Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Caffeine (mg)
"Caffè Latte (Tall, Whole)",354,180,9,5,0.3,30,125,15,0,14,9,75
"Caffè Latte (Tall, Soy)",354,110,4.5,0.5,0,0,105,10,1,6,8,75
"Caffè Latte (Tall, Coconut)",354,110,7,6,0,0,120,11,0,10,1,75
"Caffè Latte (Grande, Nonfat)",473,130,0.3,0.2,0,5,150,19,0,18,13,150
"Caffè Latte (Grande, 2%)",473,190,7,4.5,0.3,30,170,19,0,17,12,150
"Caffè Latte (Grande, Whole)",473,230,11,7,0.3,35,150,19,0,17,12,150
"Caffè Latte (Grande, Soy)",473,150,5,0.5,0,0,130,13,1,8,10,150
"Caffè Latte (Grande, Coconut)",473,140,8,8,0,0,150,14,0,12,1,150
"Caffè Latte (Venti, Nonfat)",591,170,0.4,0.3,0,10,190,25,0,23,16,150
"Caffè Latte (Venti, 2%)",591,240,9,6,0.4,35,220,24,0,22,16,150
"Caffè Latte (Venti, Whole)",591,290,15,9,0.5,45,200,24,0,22,15,150
"Caffè Latte (Venti, Soy)",591,190,7,1,0,0,170,16,2,11,13,150
"Caffè Latte (Venti, Coconut)",591,170,11,10,0,0,200,18,0,16,2,150
"Iced Caffè Latte (Tall, Nonfat)",354,70,0.1,0.1,0,5,80,10,0,9,6,75
"Iced Caffè Latte (Tall, 2%)",354,100,3.5,2,0.1,15,90,10,0,9,6,75
"Iced Caffè Latte (Tall, Whole)",354,120,6,3.5,0.2,20,85,10,0,9,6,75
"Iced Caffè Latte (Tall, Soy)",354,80,3,0.4,0,0,75,7,1,4,5,75
"Iced Caffè Latte (Tall, Coconut)",354,70,4,4,0,0,80,7,0,6,1,75
"Iced Caffè Latte (Grande, Nonfat)",473,90,0.2,0.1,0,5,105,13,0,11,8,150
"Iced Caffè Latte (Grande, 2%)",473,130,4.5,2.5,0.1,20,115,13,0,11,8,150
"Iced Caffè Latte (Grande, Whole)",473,150,7,4.5,0.2,25,105,13,0,11,8,150
"Iced Caffè Latte (Grande, Soy)",473,100,3.5,0.5,0,0,95,9,1,5,7,150
"Iced Caffè Latte (Grande, Coconut)",473,90,5,5,0,0,105,10,0,8,1,150
"Iced Caffè Latte (Venti, Nonfat)",709,130,0.3,0.2,0,5,140,19,0,16,12,225
"Iced Caffè Latte (Venti, 2%)",709,180,6,3,0.2,25,160,18,0,15,12,225
"Iced Caffè Latte (Venti, Whole)",709,210,10,6,0.3,30,150,18,0,15,11,225
"Iced Caffè Latte (Venti, Soy)",709,150,5,0.5,0,0,130,13,1,8,10,225
"Iced Caffè Latte (Venti, Coconut)",709,130,7,7,0,0,150,14,0,11,2,225
"Caffè Mocha (Short, Nonfat, No Whip)",236,120,1.5,1,0,5,65,21,2,17,7,90
"Caffè Mocha (Short, Nonfat, Whip)",236,180,6,4,0.2,20,70,23,2,18,7,90
"Caffè Mocha (Short, 2%, No Whip)",236,150,4,2.5,0.1,10,70,21,2,17,7,90
"Caffè Mocha (Short, 2%, Whip)",236,200,9,6,0.3,30,75,22,2,18,7,90
"Caffè Mocha (Short, Whole, No Whip)",236,160,6,3.5,0.1,15,65,21,2,17,6,90
"Caffè Mocha (Short, Whole, Whip)",236,210,11,7,0.3,35,70,22,2,18,7,90
"Caffè Mocha (Short, Soy, No Whip)",236,130,3.5,1,0,0,55,18,3,13,6,90
"Caffè Mocha (Short, Soy, Whip)",236,180,9,4,0.2,20,60,20,3,14,6,90
"Caffè Mocha (Short, Coconut, No Whip)",236,130,4.5,4,0,0,65,19,2,15,2,90
"Caffè Mocha (Short, Coconut, Whip)",236,180,10,7,0.2,20,70,21,2,16,2,90
"Caffè Mocha (Tall, Nonfat, No Whip)",354,190,2,1,0,5,100,32,3,27,10,95
