Name,Serving Size Description,Serving Size (g),Serving Size (mL),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Sugars Added (g),Protein (g)
Diet Dr Pepper (30 fl oz),,,30,0,0,0,0,0,180,0,0,0,0,0
Diet Mountain Dew (12 fl oz),,,12,0,0,0,0,0,55,1,0,0,0,0
Diet Mountain Dew (16 fl oz),,,16,5,0,0,0,0,75,1,0,0,0,0
Diet Mountain Dew (20 fl oz),,,20,10,0,0,0,0,90,1,0,1,0,0
Diet Mountain Dew (30 fl oz),,,30,10,0,0,0,0,140,1,0,1,0,0
Diet Pepsi (12 fl oz),,,12,0,0,0,0,0,55,0,0,0,0,0
Diet Pepsi (16 fl oz),,,16,0,0,0,0,0,75,0,0,0,0,0
Diet Pepsi (20 fl oz),,,20,0,0,0,0,0,95,0,0,0,0,0
Diet Pepsi (30 fl oz),,,30,0,0,0,0,0,140,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (12 fl oz),,,12,0,0,0,0,0,35,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (16 fl oz),,,16,0,0,0,0,0,50,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (20 fl oz),,,20,0,0,0,0,0,60,0,0,0,0,0
Diet Pepsi Wild Cherry Pepsi (30 fl oz),,,30,0,0,0,0,0,95,0,0,0,0,0
Dr Pepper (12 fl oz),,,12,140,0,0,0,0,45,39,0,38,0,0
Dr Pepper (16 fl oz),,,16,190,0,0,0,0,60,52,0,51,0,0
Dr Pepper (20 fl oz),,,20,240,0,0,0,0,75,65,0,64,0,0
Dr Pepper (30 fl oz),,,30,360,0,0,0,0,110,98,0,96,0,0
Lipton Brisk Lemon Tea (12 fl oz),,,12,80,0,0,0,0,40,22,0,22,0,0
Lipton Brisk Lemon Tea (16 fl oz),,,16,110,0,0,0,0,55,29,0,29,0,0
Lipton Brisk Lemon Tea (20 fl oz),,,20,140,0,0,0,0,70,36,0,36,0,0
Lipton Brisk Lemon Tea (30 fl oz),,,30,210,0,0,0,0,105,55,0,54,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (12 fl oz),,,12,0,0,0,0,0,105,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (16 fl oz),,,16,0,0,0,0,0,140,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (20 fl oz),,,20,5,0,0,0,0,180,0,0,0,0,0
Lipton Brisk No Calorie Peach Iced Green Tea (30 fl oz),,,30,10,0,0,0,0,270,0,0,0,0,0
Lipton Brisk Raspberry Tea (12 fl oz),,,12,80,0,0,0,0,45,20,0,20,0,0
Lipton Brisk Raspberry Tea (16 fl oz),,,16,100,0,0,0,0,55,26,0,26,0,0
Lipton Brisk Raspberry Tea (20 fl oz),,,20,130,0,0,0,0,70,33,0,33,0,0
Lipton Brisk Raspberry Tea (30 fl oz),,,30,190,0,0,0,0,110,49,0,49,0,0
Lipton Brisk Sweet Iced Tea (12 fl oz),,,12,80,0,0,0,0,45,22,0,21,0,0
Lipton Brisk Sweet Iced Tea (16 fl oz),,,16,110,0,0,0,0,65,29,0,29,0,0
Lipton Brisk Sweet Iced Tea (20 fl oz),,,20,130,0,0,0,0,80,36,0,36,0,0
Lipton Brisk Sweet Iced Tea (30 fl oz),,,30,200,0,0,0,0,120,54,0,54,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (12 fl oz),,,12,0,0,0,0,0,45,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (16 fl oz),,,16,0,0,0,0,0,60,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (20 fl oz),,,20,0,0,0,0,0,75,0,0,0,0,0
Lipton Brisk Unsweetened No Lemon Iced Tea (30 fl oz),,,30,0,0,0,0,0,115,0,0,0,0,0
