Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Plant-Based Crumble (Mucho Burrito),150,400.0,24.3,1.6,0.0,0.0,958.7,19.8,2.4,12.3,24.8
"Plant-Based Crumble (Regular Burrito, Bowl, Salad, Quesadilla)",100,270.0,16.2,1.0,0.0,0.0,639.2,13.2,1.6,8.2,16.5
Plant-Based Crumble (Small Burrito),75,200.0,12.1,0.8,0.0,0.0,479.4,9.9,1.2,6.1,12.4
"Plant-Based Crumble (Kids, Taco, Quesadilla Snack Size)",50,130.0,8.1,0.5,0.0,0.0,319.6,6.6,0.8,4.1,8.3
"Monterey Jack Cheese (Quesadilla, Nachos)",50,180.0,15.0,8.3,0.3,41.7,350.0,1.7,0.0,0.0,11.7
Monterey Jack Cheese (Kid'S Quesadilla),40,150.0,12.0,6.7,0.3,33.3,280.0,1.3,0.0,0.0,9.3
Monterey Jack Cheese (Mucho Burrito),30,110.0,9.0,5.0,0.2,25.0,210.0,1.0,0.0,0.0,7.0
"Monterey Jack Cheese (Regular Burrito, Bowl, Salad)",20,70.0,6.0,3.3,0.1,16.7,140.0,0.7,0.0,0.0,4.7
"Monterey Jack Cheese (Small Burrito, Taco, Kids Burrito)",10,35.0,3.0,1.7,0.1,8.3,70.0,0.3,0.0,0.0,2.3
"Vegan Mozzarella (Small Burrito, Taco)",10,35.0,3.0,0.0,0.0,0.0,140.0,0.4,0.0,0.0,2.0
"Vegan Mozzarella (Regular Burrito, Bowl, Salad)",20,70.0,6.0,0.0,0.0,0.0,280.0,0.8,0.0,0.0,4.0
Vegan Mozzarella (Mucho Burrito),30,110.0,9.0,0.0,0.0,0.0,420.0,1.2,0.0,0.0,6.0
Pico De Gallo (Quesadillas),80,20.0,0.0,0.0,0.0,0.0,383.3,4.2,0.7,2.7,0.5
Pico De Gallo (Mucho Burrito),50,15.0,0.0,0.0,0.0,0.0,239.5,2.6,0.4,1.7,0.3
"Pico De Gallo (Regular Burrito, Burrito Bowl, Taqueria Salad)",40,10.0,0.0,0.0,0.0,0.0,191.6,2.1,0.3,1.4,0.3
Pico De Gallo (Small Burrito),25,5.0,0.0,0.0,0.0,0.0,119.8,1.3,0.2,0.8,0.2
Pico De Gallo (Taco),15,5.0,0.0,0.0,0.0,0.0,71.9,0.8,0.1,0.5,0.1
Pico De Gallo (Kids Burrito),20,5.0,0.0,0.0,0.0,0.0,95.8,1.1,0.2,0.7,0.1
Medium Salsa (Quesadillas),113,50.0,1.3,0.1,0.0,0.0,441.4,6.9,1.1,4.6,1.5
Medium Salsa (Mucho Burrito),70,30.0,0.8,0.1,0.0,0.0,273.4,4.3,0.7,2.8,1.0
"Medium Salsa (Regular Burrito, Bowl, Salad)",60,25.0,0.7,0.0,0.0,0.0,234.4,3.7,0.6,2.4,0.8
Medium Salsa (Small Burrito),40,15.0,0.4,0.0,0.0,0.0,156.3,2.4,0.4,1.6,0.5
Medium Salsa (Taco),20,10.0,0.2,0.0,0.0,0.0,78.1,1.2,0.2,0.8,0.3
Medium Salsa (Kids Burrito),20,10.0,0.2,0.0,0.0,0.0,78.1,1.2,0.2,0.8,0.3
Medium Salsa (Chips & Salsa - Combo),113,50.0,1.3,0.1,0.0,0.0,441.4,6.9,1.1,4.6,1.5
Medium Salsa (Chips & Salsa - Serves 2),113,50.0,1.3,0.1,0.0,0.0,441.4,6.9,1.1,4.6,1.5
Medium Salsa (Chips & Salsa - Serves 3),227,100.0,2.5,0.2,0.0,0.0,886.7,13.8,2.2,9.2,3.1
Hot Salsa (Quesadillas),113,35.0,2.0,0.1,0.0,0.0,352.1,4.4,0.6,3.5,0.5
Hot Salsa (Mucho Burrito),70,40.0,2.3,0.2,0.0,0.0,410.8,5.2,0.7,4.1,0.6
"Hot Salsa (Regular Burrito, Bowl, Salad)",60,35.0,2.0,0.1,0.0,0.0,352.1,4.4,0.6,3.5,0.5
Hot Salsa (Small Burrito),40,25.0,1.3,0.1,0.0,0.0,234.7,3.0,0.4,2.3,0.3
Hot Salsa (Taco),20,10.0,0.7,0.0,0.0,0.0,117.4,1.5,0.2,1.2,0.2
Hot Salsa (Kids Burrito),20,10.0,0.7,0.0,0.0,0.0,117.4,1.5,0.2,1.2,0.2
Hot Salsa (Chips & Salsa - Combo),113,70.0,3.7,0.2,0.0,0.0,663.2,8.4,1.1,6.6,0.9
Hot Salsa (Chips & Salsa - Serves 2),113,70.0,3.7,0.2,0.0,0.0,663.2,8.4,1.1,6.6,0.9
Hot Salsa (Chips & Salsa - Serves 3),227,130.0,7.4,0.5,0.0,0.0,1332.2,16.8,2.2,13.3,1.9
Citrus Slaw (Small Burrito),40,15.0,0.0,0.0,0.0,0.0,128.4,3.1,0.7,2.0,0.5
"Citrus Slaw (Regular Burrito, Bowl, Salad)",50,20.0,0.0,0.0,0.0,0.0,160.4,3.9,0.9,2.5,0.6
Citrus Slaw (Mucho Burrito),75,30.0,0.1,0.0,0.0,0.0,240.7,5.9,1.4,3.8,0.9
Citrus Slaw (Taco),20,7.0,0.0,0.0,0.0,0.0,64.2,1.6,0.4,1.0,0.2
Charred Corn (Small Burrito),15,15.0,0.1,0.0,0.0,0.0,0.5,3.0,0.3,0.5,0.2
"Charred Corn (Regular Burrito, Bowl, Salad)",30,30.0,0.2,0.0,0.0,0.0,0.9,6.0,0.6,0.9,0.3
Charred Corn (Mucho Burrito),30,30.0,0.2,0.0,0.0,0.0,0.9,6.0,0.6,0.9,0.3
Charred Corn (Taco),10,10.0,0.1,0.0,0.0,0.0,0.3,2.0,0.2,0.3,0.1
In-House Pickled Red Onions (Small Burrito),15,15.0,0.0,0.0,0.0,0.0,250.3,4.0,0.3,3.6,0.1
"In-House Pickled Red Onions (Regular Burrito, Bowl, Salad)",20,20.0,0.0,0.0,0.0,0.0,333.7,5.3,0.3,4.9,0.2
In-House Pickled Red Onions (Mucho Burrito),25,25.0,0.0,0.0,0.0,0.0,417.1,6.6,0.4,6.1,0.2
In-House Pickled Red Onions (Taco),10,10.0,0.0,0.0,0.0,0.0,166.9,2.6,0.2,2.4,0.1
Crispy Onion Chips (Small Burrito),8,50.0,4.0,1.7,0.0,0.0,68.6,3.4,0.0,0.0,0.0
"Crispy Onion Chips (Regular Burrito, Bowl, Salad)",10,60.0,5.0,2.1,0.0,0.0,85.7,4.3,0.0,0.0,0.0
Crispy Onion Chips (Mucho Burrito),15,100.0,7.5,3.2,0.0,0.0,128.6,6.4,0.0,0.0,0.0
Crispy Onion Chips (Taco),3,20.0,1.5,0.6,0.0,0.0,25.7,1.3,0.0,0.0,0.0
Mango Salsa (Small Burrito),40,20.0,0.0,0.0,0.0,0.0,44.6,1.5,0.4,1.1,0.4
"Mango Salsa (Regular Burrito, Bowl, Salad)",60,25.0,0.1,0.0,0.0,0.0,66.9,2.3,0.6,1.6,0.6
Mango Salsa (Mucho Burrito),60,35.0,0.1,0.0,0.0,0.0,66.9,2.3,0.6,1.6,0.6
Mango Salsa (Taco),20,10.0,0.0,0.0,0.0,0.0,22.3,0.8,0.2,0.5,0.2
Roasted Chickpeas (Small Burrito),40,20.0,0.1,0.0,0.0,0.0,0.0,0.0,23.9,24.0,4.5
"Roasted Chickpeas (Regular Burrito, Bowl, Salad)",60,40.0,0.1,0.0,0.0,0.0,0.0,0.0,35.9,35.9,6.8
Roasted Chickpeas (Mucho Burrito),60,40.0,0.1,0.0,0.0,0.0,0.0,0.0,35.9,35.9,6.8
Roasted Chickpeas (Taco),20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2.3
"Sour Cream (Small Burrito, Kids Burrito)",15,25.0,2.0,1.3,0.1,7.5,15.0,1.0,0.0,0.5,0.5
Sour Cream (Taco),10,15.0,1.3,0.8,0.0,5.0,10.0,0.7,0.0,0.3,0.3
Burrito Sauce (Mucho Burrito),45,170.0,16.5,2.3,0.2,7.5,435.0,4.5,0.0,3.0,0.3
"Burrito Sauce (Regular Burrito, Bowl, Salad)",30,110.0,11.0,1.5,0.1,5.0,290.0,3.0,0.0,2.0,0.2
Burrito Sauce (Small Burrito),15,60.0,5.5,0.8,0.1,2.5,145.0,1.5,0.0,1.0,0.1
Burrito Sauce (Taco),10,35.0,3.7,0.5,0.0,1.7,96.7,1.0,0.0,0.7,0.1
"Guacamole (Burritos, Bowls, Salads,)",60,80.0,7.2,1.0,0.0,0.0,108.5,4.8,3.4,0.6,1.0
Guacamole (Quesadillas),113,160.0,13.6,1.9,0.0,0.0,204.4,9.0,6.4,1.1,1.9
Guacamole (Chips & Guac - Combo),113,160.0,13.6,1.9,0.0,0.0,204.4,9.0,6.4,1.1,1.9
Guacamole (Chips & Guac - Serves 2),113,160.0,13.6,1.9,0.0,0.0,204.4,9.0,6.4,1.1,1.9
Guacamole (Chips & Guac - Serves 3),227,310.0,27.3,3.8,0.0,0.0,410.6,18.1,12.9,2.2,3.8
Chipotle Crema (Small Burrito),15,25,0.1,0,0,0,26.4,9.6,0,6.7,0
"Chipotle Crema (Regular Burrito, Bowl)",30,45,0.3,0,0,0,52.8,19.2,0.1,13.3,0
Chipotle Crema (Mucho Burrito),45,70,0.4,0.1,0,0,79.2,28.7,0.1,20,0.1
Habanero Garlic (Small Burrito),15,15.0,1.7,1.1,0.0,0.0,0.0,6.3,15.6,0.0,2.6
"Habanero Garlic (Regular Burrito, Bowl, Salad)",30,30.0,3.4,2.1,0.1,0.0,0.0,12.6,31.3,0.0,5.2
Habanero Garlic (Mucho Burrito),45,45.0,5.0,3.2,0.1,0.0,0.0,18.9,46.9,0.0,7.8
Habanero Garlic (Taco),10,5.0,1.1,0.7,0.0,0.0,0.0,4.2,10.4,0.0,1.7
Agave Lime Vinaigrette (Salad Taqueria),30,120.0,9.7,0.7,0.0,0.0,37.0,7.9,0.4,6.9,0.1
"Queso Cheese Sauce (Small Burrito, Kids Burrito)",30,40.0,2.3,0.9,0.7,4.6,257.4,2.4,0.0,1.0,1.0
"Queso Cheese Sauce (Regular Burrito, Bowl, Salad, Quesadilla, Taco)",60,80.0,4.5,1.8,1.3,9.2,514.9,4.8,0.0,2.1,2.0
Queso Cheese Sauce (Chips & Queso - Combo),113,160.0,8.5,3.4,2.5,17.3,969.7,9.0,0.1,3.9,3.7
Queso Cheese Sauce (Chips & Queso - Serves 2),113,160.0,8.5,3.4,2.5,17.3,969.7,9.0,0.1,3.9,3.7
Queso Cheese Sauce (Chips & Queso - Serves 3),227,310.0,17.2,6.9,5.0,34.7,1948.0,18.1,0.1,7.9,7.4
Spicy Mexican Chili (Bowl),225,348.0,17.7,6.0,0.0,,1047.0,46.0,15.7,11.3,13.3
Lettuce Romaine (Bowl),100,18.0,0.3,0.0,0.0,0.0,8.0,3.3,0.0,1.2,1.2
Chips (Kids' Meals),35,70.0,2.2,0.1,0.0,0.0,211.4,9.8,0.0,0.0,1.2
"Chips (Chips & Salsa, Queso, Guac)",60,120.0,3.7,0.1,0.0,0.0,362.4,16.8,0.0,0.0,2.1
Jalapeno Peppers - Garnish,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0
Cilantro - Garnish,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Fresh Limes (Taco),9,5.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3,0.2,0.1
