Name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Fritos Chili Pie (Small),510,34,10,0.5,35,1030,35,3,1,14
Fritos Chili Pie (Medium),750,50,15,1,50,1490,53,5,2,20
Fritos Chili Pie (Large),990,66,20,1,70,1940,71,6,3,26
Handmade Onion Rings (Small),440,21,3.5,0,0,430,55,3,14,6
Handmade Onion Rings (Medium),580,29,5,0,0,570,74,4,19,8
Handmade Onion Rings (Large),800,39,7,0.5,0,790,101,5,26,11
Jumbo Popcorn Chicken (Small),330,19,3.5,0,40,1100,24,3,1,16
Jumbo Popcorn Chicken (Medium),490,28,5,0,55,1640,36,4,1,23
Jumbo Popcorn Chicken (Large),750,43,8,0.5,90,2520,55,6,2,36
Mozzarella Sticks (4 Pc.) (Small),370,19,7,0,30,950,40,2,5,15
Mozzarella Sticks (6 Pc.) (Medium),560,29,11,0.5,45,1490,61,3,8,23
Mozzarella Sticks (8 Pc.) (Large),750,38,15,0.5,60,1890,79,4,9,31
Pickle-O's (Small),190,21,3.5,0,10,850,23,1,2,3
Pickle-O's (Medium),310,39,7,0.5,20,1490,39,2,4,5
Pickle-O's (Large),500,49,8,0.5,20,2100,61,4,5,8
Soft Pretzel Twist,250,7,1,0,0,440,39,2,6,7
Tots (Small),250,13,2.5,0,0,620,30,3,0,2
Tots (Medium),360,19,3.5,0,0,890,43,4,0,3
Tots (Large),580,31,6,0,0,1450,69,6,1,5
Tots With Cheese (Small),310,19,5,0,20,950,30,3,1,6
Tots With Cheese (Medium),450,28,8,0,30,1390,43,4,1,8
Tots With Cheese (Large),840,50,13,0,40,2450,86,8,2,13
Sonic Blast With Butterfinger Pieces Mini,470,23,13,0.5,60,260,57,1,36,9
Sonic Blast With Butterfinger Pieces (Small),740,37,21,1,95,420,90,2,57,14
Sonic Blast With Butterfinger Pieces (Medium),980,48,28,1.5,125,550,118,2,75,18
Sonic Blast With Butterfinger Pieces (Large),1440,72,43,2,200,820,172,3,110,26
Sonic Blast With Chocolate Chip Cookie Dough Mini,450,22,12,0.5,65,220,59,0,37,6
Sonic Blast With Chocolate Chip Cookie Dough (Small),690,34,19,1,100,340,89,1,55,10
Sonic Blast With Chocolate Chip Cookie Dough (Medium),920,45,25,1.5,135,450,118,1,73,13
Sonic Blast With Chocolate Chip Cookie Dough (Large),1370,68,39,2,210,690,172,1,108,20
